"","cve_ent","tasa_covid","inclusion_fin_2019","popden2020","porcentaje_pob_pobreza_ext","porcentaje_pob_pobreza","porcentaje_pob_acceso_ss","pob_6.14_no_edu","entidad","cant_hosp"
"580",14049,19.7063750123165,0,6.149,0.1024,0.5326,0.8788,10.54,"Jalisco",4
"581",14050,33.3879681903721,0.88,122.554,0.0573,0.4398,0.6895,10.66,"Jalisco",63
"582",14051,51.5544446180284,0.92,346.374,0.0296,0.3187,0.4015,7.88,"Jalisco",12
"583",14052,19.9302441454908,0,13.702,0.048,0.448,0.7687,5.23,"Jalisco",6
"584",14053,69.1535379291503,1.27,60.506,0.0438,0.3721,0.4888,6.07,"Jalisco",305
"585",14054,40.7055630936228,0,39.023,0.0091,0.236,0.5962,7.82,"Jalisco",7
"586",14055,19.4883277356222,1.15,49.35,0.0246,0.4038,0.6635,3.47,"Jalisco",40
"587",14056,4.49640287769784,0,4.296,0.1207,0.5532,0.8192,17.19,"Jalisco",3
"588",14057,54.5499628068435,0,31.689,0.0325,0.3543,0.8434,8.06,"Jalisco",13
"589",14058,55.6443875919412,1.72,9.079,0.0289,0.3826,0.7379,4.23,"Jalisco",30
"590",14059,41.438310386312,1.83,79.258,0.0518,0.4556,0.8286,6.7,"Jalisco",30
"591",14060,31.0786106032907,2.13,25.889,0.0292,0.5826,0.8448,9.22,"Jalisco",8
"592",14061,24.0952243265385,0,7.008,0.5315,0.8009,0.8912,17.46,"Jalisco",16
"593",14062,5.30222693531283,0,8.693,0.0262,0.2454,0.8698,6.02,"Jalisco",6
"594",14063,50.3493338613413,1.88,428.139,0.0301,0.2844,0.428,7.57,"Jalisco",251
"595",14064,70.7554094125246,0.86,25.511,0.0626,0.4764,0.7235,6.39,"Jalisco",58
"596",14065,21.6360156445036,0,11.297,0.0465,0.4232,0.7092,7.57,"Jalisco",16
"597",14066,25.0040767516443,1.05,79.777,0.0704,0.4123,0.559,8.22,"Jalisco",84
"598",14067,93.0422062958782,2.6,224.376,0.0329,0.3543,0.4329,5.42,"Jalisco",706
"599",14068,25.7245755445035,0,5.833,0.0632,0.456,0.8294,6.16,"Jalisco",20
"600",14069,14.7777651472093,0,11.748,0.1111,0.5515,0.8382,12.53,"Jalisco",8
"601",14070,39.8683046977653,1.27,5610.892,0.0521,0.4004,0.4318,8.51,"Jalisco",137
"602",14071,9.50871632329635,0,4.591,0.0743,0.4292,0.8277,6.13,"Jalisco",5
"603",14072,64.9434991557345,0,17.6,0.062,0.4313,0.7869,6.66,"Jalisco",9
"604",14073,60.2466473482041,1.86,82.599,0.0249,0.3606,0.6272,8.43,"Jalisco",159
"605",14074,21.7659862344844,2.25,62.554,0.0233,0.3452,0.8173,6.46,"Jalisco",30
"606",14075,34.5337937839171,0,12.945,0.055,0.4481,0.7113,11.11,"Jalisco",6
"607",14076,15.3421294875729,0,3.12,0.0727,0.3488,0.6565,6.2,"Jalisco",5
"608",14077,23.734445461635,0.46,86.582,0.0478,0.3806,0.6959,5.21,"Jalisco",72
"609",14078,14.5377839856332,1.53,62.562,0.0456,0.382,0.7153,7.87,"Jalisco",57
"610",14079,65.1380927566441,0.87,47.78,0.0535,0.4102,0.5918,6.1,"Jalisco",18
"611",14080,6.71817265703729,0,3.633,0.0552,0.4599,0.7931,5.17,"Jalisco",2
"612",14081,29.3513354857646,0,12.336,0.0626,0.5462,0.7922,7.33,"Jalisco",2
"613",14082,25.8988421694089,1.48,126.157,0.0286,0.3796,0.5986,5.93,"Jalisco",75
"614",14083,49.3847339295304,0.67,225.285,0.0233,0.2829,0.3895,6.98,"Jalisco",131
"615",14084,22.452288886117,0.86,6.579,0.0439,0.466,0.8161,3.37,"Jalisco",28
"616",14085,93.6056406515925,1.62,29.412,0.024,0.3162,0.5612,7.46,"Jalisco",76
"617",14086,14.5299559258004,1.38,48.049,0.0782,0.4659,0.8487,7.4,"Jalisco",22
"618",14087,30.4706015122447,1.49,12.594,0.0333,0.3938,0.6708,8.52,"Jalisco",40
"619",14088,11.3617919168966,0.74,20.861,0.0203,0.3764,0.6398,6.04,"Jalisco",38
"620",14089,17.5262894341512,0,46.452,0.0576,0.4411,0.7554,5.89,"Jalisco",3
"621",14090,6.66666666666667,1.82,21.604,0.0312,0.4205,0.7996,3.82,"Jalisco",19
"622",14091,63.1393138408618,1.25,43.598,0.0284,0.4145,0.7721,6.94,"Jalisco",76
"623",14092,16.1174785100287,0,26.75,0.0696,0.4489,0.7867,4.76,"Jalisco",17
"624",14093,73.9745786823526,2.18,97.985,0.0221,0.2893,0.4961,7.01,"Jalisco",466
"625",14094,15.1822992252562,1.86,32.514,0.0637,0.4055,0.6194,6.43,"Jalisco",112
"626",14095,25.1767212162293,0,33.786,0.0114,0.2123,0.5204,5.84,"Jalisco",9
"627",14096,17.3041086165587,1.19,83.265,0.0794,0.5333,0.8646,11.86,"Jalisco",42
"628",14097,39.0111382776419,1.02,1142.59,0.0346,0.3439,0.392,7.8,"Jalisco",486
"629",14098,52.4579151189441,1.13,2536.647,0.0261,0.2736,0.3896,6.75,"Jalisco",667
"630",14099,18.3049606443346,0,22.837,0.093,0.4614,0.6809,6.67,"Jalisco",11
"631",14100,10.8142325851291,0.71,13.665,0.0658,0.4624,0.796,7.86,"Jalisco",54
"632",14101,53.9237070427997,0.86,4765.956,0.0433,0.3716,0.4903,6.91,"Jalisco",451
"633",14102,18.700327255727,2.09,12.134,0.0164,0.2886,0.6004,4.44,"Jalisco",20
"634",14103,22.5492523142654,0,33.475,0.0193,0.29,0.4451,5.9,"Jalisco",12
"635",14104,44.7665742911959,0,7.698,0.0286,0.3716,0.7728,5.77,"Jalisco",4
"636",14105,21.8756329754912,1.7,80.495,0.0421,0.4139,0.7122,9.61,"Jalisco",38
"637",14106,32.4114088159032,0,20.664,0.0612,0.3656,0.7188,8.86,"Jalisco",3
"638",14107,17.961383026493,0,22.419,0.0678,0.478,0.7569,9.28,"Jalisco",13
"639",14108,46.2042658357062,1.46,68.186,0.0498,0.3779,0.4802,5.76,"Jalisco",71
"640",14109,53.5593572877125,0.71,27.725,0.0372,0.3442,0.7331,7.82,"Jalisco",23
"641",14110,20.769869842149,1.83,41.306,0.0435,0.3703,0.7027,5.93,"Jalisco",39
"642",14111,34.7268598904768,1.82,12.84,0.0104,0.2596,0.5298,9.48,"Jalisco",16
"643",14112,25.4151135208404,2.07,67.312,0.0466,0.4454,0.8443,11.58,"Jalisco",14
"644",14113,13.2366482504604,0.78,36.854,0.0592,0.3925,0.6274,7.59,"Jalisco",23
"645",14114,30.3315552766447,0.72,106.278,0.0262,0.4194,0.5913,7.2,"Jalisco",34
"646",14115,28.9017341040462,0,5.059,0.1,0.4941,0.8136,7.4,"Jalisco",15
"647",14116,25.6939665060794,2.01,39.317,0.0483,0.4488,0.8982,7.29,"Jalisco",37
"648",14117,22.517451024544,0,9.304,0.0227,0.3235,0.7021,13.95,"Jalisco",3
"649",14118,45.4981842467755,1.73,43.003,0.032,0.3963,0.7609,6.82,"Jalisco",58
"650",14119,31.2171398527865,0.88,62.027,0.08,0.4987,0.7169,8.86,"Jalisco",54
"651",14120,68.6847686554669,2.1,1653.128,0.0273,0.266,0.4764,6.5,"Jalisco",2459
"652",14121,35.7633234345563,0.84,65.985,0.0338,0.3515,0.5237,6.44,"Jalisco",54
"653",14122,24.0673886883273,0,15.53,0.0963,0.4762,0.6643,5.73,"Jalisco",7
"654",14123,23.7762960665736,0,60.078,0.0528,0.3861,0.6795,7.68,"Jalisco",6
"655",14124,24.5723988459255,1.33,100.784,0.0484,0.3803,0.7538,8.23,"Jalisco",112
"656",14125,6.43500643500643,0.71,69.932,0.0421,0.3911,0.8029,11.25,"Jalisco",33
"657",15001,50.2013808975834,0.79,137.915,0.1715,0.6569,0.8396,4.39,"México",47
"658",15002,62.5483205910145,0.54,1974.068,0.0989,0.5466,0.679,6.27,"México",219
"659",15003,15.9086117340387,0.26,105.789,0.0565,0.4874,0.7929,4.39,"México",33
"660",15004,35.7941834451902,0.82,91.606,0.1004,0.5734,0.7775,9.07,"México",20
"661",15005,38.9105058365759,0.39,360.866,0.1866,0.6528,0.7821,5.67,"México",92
"662",15006,94.5024241926206,1.02,1971.118,0.0853,0.6225,0.7703,3.74,"México",22
"663",15007,54.543344551468,0.52,107.864,0.164,0.683,0.8376,4.98,"México",10
"664",15008,19.7085943548955,0.48,40.394,0.1608,0.625,0.8338,4.94,"México",24
"665",15009,78.0963555034098,2,294.084,0.0883,0.5974,0.7136,6.7,"México",102
"666",15010,48.1378261971117,1.7,397.038,0.0626,0.5274,0.6351,4.1,"México",62
"667",15011,62.9856032906764,0.19,797.391,0.1318,0.6829,0.7649,5.41,"México",88
"668",15012,457.996962672848,0,1542.043,0.0996,0.6279,0.8089,5.39,"México",22
"669",15013,82.0307732073494,1.43,5826.368,0.0388,0.3831,0.4774,6.12,"México",690
"670",15014,108.122706699696,2.03,422.756,0.0927,0.5644,0.7728,4.26,"México",300
"671",15015,36.1143416783987,0,192.726,0.1709,0.756,0.8569,6.72,"México",27
"672",15016,90.878828229028,0,108.279,0.065,0.6289,0.7992,5.4,"México",28
"673",15017,30.6831513401318,0,274.447,0.0518,0.4778,0.7656,5.1,"México",5
"674",15018,63.0088378185677,0.47,664.232,0.0654,0.5065,0.5837,5.1,"México",72
"675",15019,68.0699549691067,0,1717.256,0.058,0.6003,0.7856,6.51,"México",88
"676",15020,110.798956050498,1.27,8266.028,0.0247,0.2862,0.3907,4.68,"México",552
"677",15021,13.6634944986456,0.66,137.75,0.0555,0.5008,0.8828,10.89,"México",42
"678",15022,90.3359979203223,0,1445.646,0.0506,0.5132,0.6114,4.74,"México",19
"679",15023,81.2198819031244,0.64,3323.984,0.0749,0.541,0.5898,6.77,"México",33
"680",15024,188.224269159562,1.87,4783.284,0.0296,0.3412,0.4248,4.96,"México",226
"681",15025,159.836313119111,1.24,1704.401,0.1191,0.5808,0.6525,5.87,"México",494
"682",15026,27.3674492218412,0.4,109.631,0.1288,0.6696,0.8017,3.85,"México",15
"683",15027,89.3269675034653,0,1080.541,0.0363,0.4226,0.5088,4.49,"México",18
"684",15028,50.6241549539352,0.43,1492.548,0.0997,0.6055,0.7676,6.26,"México",36
"685",15029,68.0883694488147,0.82,3296.929,0.0964,0.5562,0.606,5.4,"México",210
"686",15030,59.1222343126587,2.95,3990.202,0.0904,0.6419,0.8474,5.12,"México",41
"687",15031,64.9813178711121,0.39,15129.65,0.1306,0.6887,0.7522,7.02,"México",607
"688",15032,14.9344543392887,0,194.786,0.2529,0.7783,0.9237,7.65,"México",15
"689",15033,124.045969150123,0.92,10581.722,0.0534,0.4349,0.5236,6.25,"México",2694
"690",15034,27.7502477700694,1.24,197.898,0.1419,0.6239,0.7833,5.61,"México",15
"691",15035,52.6723049563553,0.86,1007.803,0.0515,0.4759,0.4887,5.2,"México",110
"692",15036,47.2808181079115,0,189.338,0.0937,0.6751,0.8082,4.28,"México",54
"693",15037,118.422911405053,2.49,1985.542,0.069,0.5132,0.6455,6.79,"México",341
"694",15038,31.1700767263427,1.09,177.647,0.0422,0.3726,0.7292,4.19,"México",9
"695",15039,88.397449159217,0.83,1720.758,0.0818,0.5418,0.5979,5,"México",618
"696",15040,39.1767655662349,2.09,319.936,0.0463,0.5028,0.683,8.09,"México",92
"697",15041,12.3575449677331,0,78.494,0.1854,0.8094,0.9416,10.72,"México",6
"698",15042,43.1763063129272,0.49,475.91,0.2015,0.7637,0.7667,3.19,"México",214
"699",15043,54.7945205479452,0.39,329.154,0.1211,0.6425,0.796,5.03,"México",30
"700",15044,57.9183659481134,0.46,2260.978,0.0369,0.5174,0.6003,4.97,"México",41
"701",15045,50.1617611414962,0.8,149.474,0.0731,0.4984,0.657,3.46,"México",105
"702",15046,68.5559793366485,0.59,169.758,0.0309,0.458,0.6717,5.06,"México",12
"703",15047,21.6999104247884,0.17,277.892,0.196,0.7143,0.8554,4.52,"México",22
"704",15048,63.1465425494175,0.19,250.258,0.0739,0.5435,0.6541,2.96,"México",86
"705",15049,54.3847722637661,0,312.814,0.1311,0.699,0.7761,5.15,"México",20
"706",15050,39.6461216548585,0.98,181.305,0.0785,0.7054,0.8441,5.85,"México",41
"707",15051,86.715682596844,1.43,744.957,0.04,0.3485,0.4568,4.35,"México",214
"708",15052,32.864645095714,0.46,151.143,0.1702,0.6651,0.873,6.01,"México",52
"709",15053,89.5834695612372,0.21,4030.283,0.0619,0.5346,0.5963,6.08,"México",75
"710",15054,113.470565523968,2.85,3440.395,0.0307,0.3324,0.4327,4.48,"México",1017
"711",15055,100.407450523865,0.96,1131.721,0.0575,0.54,0.7599,5.84,"México",33
"712",15056,35.1847197788389,0,148.878,0.1733,0.7283,0.8204,6.51,"México",30
"713",15057,133.390171470258,2.29,5568.09,0.0486,0.4261,0.5015,6.66,"México",1441
"714",15058,153.356354101917,0.93,16979.95,0.0514,0.4646,0.5647,5.83,"México",2048
"715",15059,55.224564619615,0,1343.422,0.0632,0.541,0.6203,5.94,"México",20
"716",15060,75.0911432354488,0.51,1844.037,0.0799,0.514,0.5123,4.38,"México",502
"717",15061,115.861786117092,0,117.705,0.024,0.6024,0.8074,12.17,"México",17
"718",15062,77.3939841865265,0.73,535.246,0.0754,0.4915,0.6163,3.07,"México",127
"719",15063,30.0308498730514,0.36,105.043,0.1208,0.6455,0.8387,4.19,"México",29
"720",15064,71.8060226037268,0.34,267.931,0.118,0.6112,0.788,3.67,"México",37
"721",15065,76.7296915099775,1.32,253.319,0.0739,0.6316,0.8358,6.06,"México",67
"722",15066,18.8857412653447,0,30.477,0.0828,0.6493,0.8773,4.13,"México",6
"723",15067,43.6099333737129,0.15,693.888,0.1237,0.6175,0.6748,5.33,"México",92
"724",15068,63.8762277717147,0.84,641.087,0.1264,0.6589,0.8305,5.61,"México",57
"725",15069,57.2475383558507,0,1354.318,0.0445,0.4823,0.6985,5.79,"México",11
"726",15070,75.4854713885192,1.09,11384.8,0.1365,0.6265,0.6848,5.81,"México",401
"727",15071,23.2311164210806,0,112.813,0.0407,0.4709,0.7107,4.62,"México",20
"728",15072,69.1401971522453,0.89,775.34,0.0268,0.4848,0.4754,5.31,"México",34
"729",15073,73.5433369105486,0.43,1323.478,0.04,0.4488,0.5103,2.61,"México",37
"730",15074,27.1526366072134,0.38,169.294,0.2696,0.7536,0.9002,5.71,"México",99
"731",15075,79.2588780236747,0,416.886,0.0367,0.486,0.7644,4.57,"México",41
"732",15076,101.232339962671,1.13,7743.879,0.0997,0.5395,0.5528,4.51,"México",140
"733",15077,62.5381330079317,0,52.519,0.1136,0.6114,0.8859,4.99,"México",4
"734",15078,32.1574741765738,0,87.72,0.0823,0.5505,0.8552,6.48,"México",6
"735",15079,32.080340330567,0,101.748,0.0581,0.5031,0.6611,2.46,"México",14
"736",15080,14.8946733810909,0,43.7,0.1466,0.6611,0.8277,6.28,"México",13
"737",15081,93.0910834323841,1.14,3568.887,0.0415,0.4023,0.5352,5.23,"México",614
"738",15082,77.3231405476534,0.83,59.72,0.131,0.5975,0.7886,4.99,"México",120
"739",15083,145.36157779401,0,497.185,0.0597,0.4656,0.6279,10.41,"México",15
"740",15084,59.9736116108912,0.32,259.081,0.0945,0.6197,0.7326,4.11,"México",57
"741",15085,38.6283948416236,0.38,189.203,0.208,0.6788,0.8334,5.73,"México",64
"742",15086,28.2403633399325,0.37,63.953,0.134,0.6244,0.8271,5.25,"México",17
"743",15087,37.0079315764465,0.13,529.81,0.1813,0.6197,0.7856,5.17,"México",79
"744",15088,52.5136269538298,1.02,653.496,0.1339,0.6274,0.7833,5.18,"México",187
"745",15089,71.9424460431655,0,298.215,0.0534,0.5852,0.746,8.48,"México",20
"746",15090,60.8378237441335,0.59,433.349,0.1423,0.6749,0.7508,4.9,"México",186
"747",15091,72.1216134511848,1.05,2076.745,0.0545,0.5224,0.6149,8.41,"México",120
"748",15092,111.817943336831,1.49,707.803,0.059,0.547,0.6997,4.54,"México",153
"749",15093,29.2980548507913,0.42,188.908,0.0555,0.5626,0.7483,4.29,"México",28
"750",15094,41.6331551308133,0.63,439.16,0.1193,0.642,0.8083,4.52,"México",27
"751",15095,40.6383284612067,0.94,496.557,0.0605,0.4632,0.5419,5.83,"México",138
"752",15096,43.1186645821776,0.34,409.764,0.063,0.6184,0.7781,3.06,"México",72
"753",15097,37.2226909524046,0.7,129.744,0.1004,0.5659,0.7683,4.41,"México",16
"754",15098,85.799334617405,0,318.844,0.0338,0.5383,0.6742,3.89,"México",11
"755",15099,88.048394175906,1.76,662.93,0.098,0.5641,0.6664,4.79,"México",568
"756",15100,80.1685043093258,0.29,4315.963,0.1034,0.635,0.6922,7.33,"México",50
"757",15101,51.9058418327128,1.65,693.319,0.1252,0.6044,0.7325,5.82,"México",147
"758",15102,35.0793745169154,0,91.28,0.0408,0.4522,0.8186,3.3,"México",6
"759",15103,117.578353124392,0.25,309.877,0.0653,0.5152,0.5813,5.85,"México",56
"760",15104,135.155319567979,2.25,8052.252,0.0392,0.3669,0.4401,6.7,"México",1365
"761",15105,12.5229810023714,0,39.756,0.1563,0.6085,0.8518,5.39,"México",12
"762",15106,122.050687602087,1.72,2167.392,0.1084,0.5184,0.5571,4.98,"México",2029
"763",15107,53.1012611549524,0,140.776,0.0379,0.4905,0.7693,4.61,"México",30
"764",15108,88.1057268722467,0.89,8288.381,0.0508,0.4322,0.5305,5.98,"México",178
"765",15109,88.6803607592548,0.73,7264.223,0.0505,0.4222,0.4803,6.13,"México",657
"766",15110,56.9865511739229,1.65,145.965,0.095,0.5996,0.8112,6.5,"México",104
"767",15111,13.4915859906288,0.25,167.111,0.1949,0.7376,0.8992,6.93,"México",20
"768",15112,30.8215118346703,0.52,160.675,0.1361,0.6474,0.8596,5.04,"México",48
"769",15113,14.9212104309022,0.59,332.576,0.1396,0.6661,0.944,10.42,"México",60
"770",15114,21.0026977603158,0.49,255.161,0.2371,0.7186,0.9001,9.22,"México",35
"771",15115,101.226825108654,0.53,1662.093,0.1016,0.6074,0.7042,3.25,"México",113
"772",15116,34.4194584671868,0,76.095,0.0629,0.5669,0.8124,5.94,"México",13
"773",15117,19.2786069651741,0,44.854,0.1482,0.6522,0.829,7.6,"México",9
"774",15118,67.4792561934372,0.59,659.396,0.0973,0.5246,0.5701,4.17,"México",181
"775",15119,28.3932746910144,0,93.445,0.2231,0.7758,0.9248,5.4,"México",14
"776",15120,79.3402282125194,1.23,1149.029,0.0784,0.5854,0.6363,4.81,"México",299
"777",15121,68.1924496266394,1.49,5050.61,0.0366,0.3153,0.4022,5.2,"México",849
"778",15122,42.6256850131046,0.36,8449.763,0.1306,0.6628,0.7027,6.02,"México",519
"779",15123,41.2973408541499,0,41.194,0.2263,0.7489,0.8673,6.2,"México",23
"780",15124,17.7855027941429,0.13,204.638,0.2485,0.7705,0.8945,8.75,"México",23
"781",15125,58.3941605839416,0,1768.015,0.0901,0.528,0.6813,8,"México",14
"782",16001,39.1047508112156,0,106.553,0.1053,0.5552,0.8091,6.72,"Michoacán de Ocampo",43
"783",16002,8.49284641013915,0,9.054,0.1415,0.6277,0.8184,17.86,"Michoacán de Ocampo",23
"784",16003,72.0366732154551,0.62,109.78,0.1219,0.6207,0.8283,7.14,"Michoacán de Ocampo",44
"785",16004,68.7653775787017,0.82,50.678,0.0618,0.4638,0.815,7.54,"Michoacán de Ocampo",31
"786",16005,48.4364377974167,0,86.823,0.135,0.6135,0.7825,10.38,"Michoacán de Ocampo",12
"787",16006,75.0998469635325,1.48,156.621,0.0622,0.4133,0.7023,11.58,"Michoacán de Ocampo",299
"788",16007,26.2237762237762,0,36.378,0.1022,0.5587,0.8343,7.95,"Michoacán de Ocampo",5
"789",16008,14.9156691016178,0.56,9.666,0.1618,0.4882,0.8031,8.68,"Michoacán de Ocampo",7
"790",16009,92.6117549668874,2.24,58.182,0.0696,0.4573,0.6859,8.34,"Michoacán de Ocampo",59
"791",16010,17.0910206406942,0.62,5.166,0.0859,0.4694,0.7424,6.37,"Michoacán de Ocampo",24
"792",16011,19.2307692307692,0,129.015,0.0486,0.4499,0.6845,10.2,"Michoacán de Ocampo",12
"793",16012,20.8291203235591,0.61,63.905,0.0559,0.519,0.8444,16.77,"Michoacán de Ocampo",77
"794",16013,71.4877745544965,0,21.765,0.1198,0.6258,0.8224,9.59,"Michoacán de Ocampo",13
"795",16014,19.1355988122732,0,33.662,0.0768,0.4745,0.8189,14.17,"Michoacán de Ocampo",28
"796",16015,49.3224932249323,1.56,5.447,0.0777,0.5043,0.7033,8.35,"Michoacán de Ocampo",36
"797",16016,30.8244387191756,0.63,52.294,0.1164,0.4906,0.7927,6.12,"Michoacán de Ocampo",35
"798",16017,10.3130139086323,0.4,107.745,0.1034,0.5853,0.8428,6.42,"Michoacán de Ocampo",28
"799",16018,72.7311057236218,0,72.602,0.0886,0.6606,0.8195,5.54,"Michoacán de Ocampo",18
"800",16019,35.5799532377757,1.98,37.185,0.0518,0.4662,0.7819,10.38,"Michoacán de Ocampo",45
"801",16020,54.5733069509159,0,121.083,0.133,0.6528,0.8112,7.11,"Michoacán de Ocampo",74
"802",16021,23.0662771028756,0,132.501,0.3143,0.8144,0.86,8.87,"Michoacán de Ocampo",13
"803",16022,84.6474455377476,0,143.983,0.0666,0.444,0.7073,5.24,"Michoacán de Ocampo",21
"804",16023,7.41770978210478,1.32,71.281,0.0879,0.5334,0.7765,9.91,"Michoacán de Ocampo",24
"805",16024,32.4740207833733,0.7,121.502,0.2696,0.7654,0.8344,6.37,"Michoacán de Ocampo",58
"806",16025,32.330205649278,0.34,88.345,0.2063,0.6662,0.8329,9.05,"Michoacán de Ocampo",59
"807",16026,5.98086124401914,0,5.914,0.0442,0.4161,0.5849,9.69,"Michoacán de Ocampo",5
"808",16027,39.4131815195971,0,35.069,0.0535,0.4991,0.7932,4.89,"Michoacán de Ocampo",5
"809",16028,84.1908325537886,2.36,33.44,0.0199,0.3863,0.7109,4.91,"Michoacán de Ocampo",18
"810",16029,7.54622060118224,0,8.877,0.1464,0.6294,0.8118,6.64,"Michoacán de Ocampo",22
"811",16030,18.2260024301337,0,35.242,0.0633,0.4516,0.737,10.08,"Michoacán de Ocampo",22
"812",16031,13.128603230778,0,92.069,0.0834,0.526,0.8578,5.88,"Michoacán de Ocampo",12
"813",16032,30.4253337472835,0,72.758,0.1445,0.5668,0.7212,5.49,"Michoacán de Ocampo",22
"814",16033,25.1182651651526,0.61,101.826,0.0687,0.4781,0.7277,9.59,"Michoacán de Ocampo",25
"815",16034,46.0833062255061,1.11,118.255,0.1635,0.6626,0.8261,7.34,"Michoacán de Ocampo",423
"816",16035,58.1722122302158,0.41,18.589,0.1296,0.5945,0.8049,7.38,"Michoacán de Ocampo",58
"817",16036,69.6613019457122,3.35,214.32,0.0751,0.4907,0.7577,5.46,"Michoacán de Ocampo",42
"818",16037,48.7398953875416,0,38.396,0.0648,0.4622,0.6792,6.5,"Michoacán de Ocampo",19
"819",16038,191.685045281779,1.27,28.075,0.0747,0.4185,0.5536,6.14,"Michoacán de Ocampo",100
"820",16039,21.6216216216216,0,48.746,0.0536,0.54,0.7784,8.21,"Michoacán de Ocampo",16
"821",16040,22.1653878942881,0,101.541,0.1751,0.6583,0.8343,7.92,"Michoacán de Ocampo",21
"822",16041,24.5036441316914,0,99.239,0.1177,0.6198,0.8497,6.48,"Michoacán de Ocampo",28
"823",16042,8.13428972861051,0,85.728,0.06,0.471,0.7803,14.12,"Michoacán de Ocampo",22
"824",16043,33.9897342745875,0.82,738.628,0.0879,0.4724,0.6324,16.56,"Michoacán de Ocampo",106
"825",16044,50.187265917603,0,42.417,0.0596,0.4468,0.6795,9.14,"Michoacán de Ocampo",30
"826",16045,54.71562275018,1.85,124.704,0.0497,0.4142,0.6733,8.86,"Michoacán de Ocampo",133
"827",16046,80.4447351209941,0.94,92.391,0.1311,0.6189,0.8479,8.83,"Michoacán de Ocampo",16
"828",16047,21.0215582789158,0.67,40.359,0.0901,0.5058,0.8347,10.17,"Michoacán de Ocampo",20
"829",16048,56.2947799385875,0,66.294,0.0611,0.6107,0.7249,9.39,"Michoacán de Ocampo",16
"830",16049,29.3036389791678,0,12.197,0.1749,0.7025,0.8722,13.72,"Michoacán de Ocampo",33
"831",16050,63.3389442789935,0.63,191.827,0.1036,0.601,0.8318,7.2,"Michoacán de Ocampo",189
"832",16051,25.4873596473101,0.92,40.678,0.0348,0.3972,0.8083,5.96,"Michoacán de Ocampo",49
"833",16052,278.580089824255,1.77,179.569,0.0469,0.311,0.4308,5.11,"Michoacán de Ocampo",362
"834",16053,102.29110267265,2.1,635.547,0.0341,0.2725,0.471,4.32,"Michoacán de Ocampo",3345
"835",16054,24.1545893719807,0,37.41,0.0401,0.4669,0.8017,4.56,"Michoacán de Ocampo",19
"836",16055,97.1502590673575,1.13,69.885,0.1074,0.548,0.7913,10.18,"Michoacán de Ocampo",89
"837",16056,18.0565772754631,0,90.022,0.3014,0.7816,0.8732,4.84,"Michoacán de Ocampo",39
"838",16057,77.6379249500059,0,14.842,0.1033,0.5996,0.813,7.77,"Michoacán de Ocampo",17
"839",16058,19.6699289963539,0,48.718,0.0906,0.557,0.7493,6.34,"Michoacán de Ocampo",49
"840",16059,10.6132075471698,0,22.443,0.0532,0.4332,0.7192,6.39,"Michoacán de Ocampo",10
"841",16060,87.4635568513119,0,93.556,0.0398,0.555,0.7411,10.93,"Michoacán de Ocampo",17
"842",16061,14.9500354079786,0,258.844,0.2628,0.7729,0.8956,7.28,"Michoacán de Ocampo",26
"843",16062,13.2756416560134,0,125.077,0.1657,0.6819,0.8633,11.05,"Michoacán de Ocampo",31
"844",16063,32.0512820512821,1.65,58.441,0.0795,0.5023,0.7946,7.9,"Michoacán de Ocampo",28
"845",16064,18.5767362103458,0.51,72.542,0.1354,0.5965,0.8602,11.61,"Michoacán de Ocampo",25
"846",16065,65.3262499682265,1.11,142.625,0.1834,0.6072,0.7217,6.38,"Michoacán de Ocampo",81
"847",16066,130.04219237276,1.17,376.582,0.1191,0.5161,0.6979,6.25,"Michoacán de Ocampo",275
"848",16067,37.7422262280306,0.75,78.36,0.0697,0.496,0.8007,7.3,"Michoacán de Ocampo",31
"849",16068,16.3398692810458,1.94,67.581,0.042,0.3442,0.7639,10.14,"Michoacán de Ocampo",62
"850",16069,115.595416043847,2.28,392.098,0.0365,0.3574,0.5546,8.6,"Michoacán de Ocampo",412
"851",16070,72.6572688318947,2.6,56.278,0.032,0.4358,0.6838,8.31,"Michoacán de Ocampo",90
"852",16071,52.5777297788893,1.17,95.864,0.0634,0.5179,0.7265,7.05,"Michoacán de Ocampo",195
"853",16072,67.5675675675676,0,74.966,0.1122,0.6142,0.7797,7.86,"Michoacán de Ocampo",30
"854",16073,59.4134212514596,0.99,95.512,0.1251,0.6233,0.8202,8.06,"Michoacán de Ocampo",91
"855",16074,39.3232738911751,0,27.2,0.0803,0.5908,0.8146,8.93,"Michoacán de Ocampo",10
"856",16075,31.1479665022746,1.86,150.705,0.0713,0.4437,0.6714,11.75,"Michoacán de Ocampo",209
"857",16076,35.8850204618353,2.01,370,0.0589,0.462,0.7873,9.72,"Michoacán de Ocampo",342
"858",16077,58.0904098014364,0,22.781,0.1314,0.5386,0.7655,8.79,"Michoacán de Ocampo",26
"859",16078,60.1950624809509,1.03,108.862,0.0946,0.5797,0.8258,4.21,"Michoacán de Ocampo",25
"860",16079,19.360334546581,0.28,108.375,0.1433,0.624,0.8083,11.05,"Michoacán de Ocampo",79
"861",16080,18.5185185185185,0.69,67.856,0.1275,0.5803,0.8771,5.95,"Michoacán de Ocampo",26
"862",16081,22.923261652658,0,57.997,0.1511,0.653,0.8788,12.62,"Michoacán de Ocampo",3
