"","cve_ent","tasa_covid","inclusion_fin_2019","popden2020","porcentaje_pob_pobreza_ext","porcentaje_pob_pobreza","porcentaje_pob_acceso_ss","pob_6.14_no_edu","entidad","cant_hosp"
"310",10029,66.4304694419841,0,3.867,0.033,0.5355,0.7993,8.41,"Durango",3
"311",10030,0,0,0.813,0.0187,0.5017,0.8001,6.41,"Durango",3
"312",10031,43.9472632840591,0,6.699,0.0493,0.5971,0.809,1.57,"Durango",10
"313",10032,40.0977995110024,1.64,6.798,0.0233,0.4288,0.6742,4.76,"Durango",87
"314",10033,69.4649719184156,0,8.406,0.1308,0.6146,0.7787,3.94,"Durango",3
"315",10034,39.4621455714703,0.5,5.069,0.1372,0.7442,0.9219,7.15,"Durango",10
"316",10035,17.3235166738848,1.25,1.777,0.0573,0.5892,0.8099,8.09,"Durango",21
"317",10036,46.5004409524573,0,5.699,0.0201,0.3229,0.4054,4.13,"Durango",16
"318",10037,85.2878464818763,0,5.761,0.1719,0.7528,0.8979,8.04,"Durango",6
"319",10038,82.4777696636453,3.57,54.305,0.039,0.4474,0.6531,4.86,"Durango",78
"320",10039,158.339685399487,1.44,13.723,0.0269,0.4359,0.7169,13.7,"Durango",52
"321",11001,46.4527468848411,0.77,152.959,0.0537,0.4778,0.7457,6.99,"Guanajuato",108
"322",11002,163.070431296074,1.18,125.275,0.0687,0.5191,0.6939,6.11,"Guanajuato",361
"323",11003,90.1471857687643,1.98,113.594,0.0317,0.4347,0.7663,7.64,"Guanajuato",288
"324",11004,83.0921353293911,0.6,167.961,0.0473,0.5074,0.6989,5.47,"Guanajuato",127
"325",11005,78.2543721475019,0.59,283.878,0.0486,0.4116,0.4753,6.45,"Guanajuato",110
"326",11006,44.9721172872819,0,16.877,0.149,0.6878,0.8688,4.22,"Guanajuato",1
"327",11007,153.366489582156,1.79,942.133,0.0507,0.405,0.5132,6.14,"Guanajuato",1438
"328",11008,98.9952718676123,0.7,50.887,0.0616,0.5016,0.7712,8.16,"Guanajuato",60
"329",11009,68.1262974389559,0.67,169.204,0.0753,0.5205,0.7202,5.73,"Guanajuato",89
"330",11010,161.563317433451,0,90.179,0.0504,0.5244,0.8484,5.43,"Guanajuato",22
"331",11011,121.300052310031,0.88,295.142,0.0413,0.4033,0.4985,6.41,"Guanajuato",188
"332",11012,137.521279081411,1.38,121.079,0.0518,0.5183,0.7728,7.14,"Guanajuato",80
"333",11013,76.1540264000625,0,117.096,0.0272,0.3937,0.765,4.84,"Guanajuato",41
"334",11014,111.711689297199,0.98,98.437,0.0989,0.5306,0.8058,7.53,"Guanajuato",225
"335",11015,154.871613603656,1.75,195.136,0.0342,0.3343,0.4737,5.53,"Guanajuato",330
"336",11016,91.1020696975057,1.28,161.814,0.0398,0.4942,0.8082,5.85,"Guanajuato",24
"337",11017,133.731783199607,1.46,701.587,0.0415,0.3551,0.4432,7.45,"Guanajuato",1246
"338",11018,171.550760557904,1.36,222.412,0.0591,0.5497,0.6516,6.31,"Guanajuato",74
"339",11019,90.1971479778696,1.28,56.446,0.0579,0.5868,0.8169,7.81,"Guanajuato",47
"340",11020,173.861789343955,1.79,1411.214,0.0651,0.4589,0.4678,7.64,"Guanajuato",3608
"341",11021,169.921659494649,1.55,301.083,0.028,0.4688,0.7732,9.1,"Guanajuato",253
"342",11022,155.101381371678,0,25.879,0.0463,0.513,0.8359,7.97,"Guanajuato",33
"343",11023,83.2041408281656,0.95,99.664,0.0681,0.5108,0.6592,6.65,"Guanajuato",259
"344",11024,111.727416798732,1.12,204.839,0.0421,0.4329,0.7499,8.46,"Guanajuato",36
"345",11025,93.9403804120355,0.36,290.674,0.0422,0.4286,0.6994,10.87,"Guanajuato",58
"346",11026,142.005974154593,1.13,148.758,0.0479,0.4991,0.6585,7.18,"Guanajuato",73
"347",11027,164.647639050369,1.48,366.53,0.0332,0.3708,0.4579,5.6,"Guanajuato",521
"348",11028,168.352371515639,0.94,161.779,0.0506,0.5097,0.6391,6.11,"Guanajuato",235
"349",11029,148.841011830336,1.07,41.462,0.037,0.3965,0.7735,5.71,"Guanajuato",41
"350",11030,112.990533453812,0.49,40.337,0.0575,0.5191,0.7367,5.94,"Guanajuato",110
"351",11031,155.753590036853,2.39,314.798,0.0482,0.473,0.6535,10.17,"Guanajuato",272
"352",11032,79.8209712548766,1.2,167.677,0.0215,0.2424,0.5408,4.43,"Guanajuato",156
